               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.043782,           0.0087712,                   0,             0.78431,             0.66743,             0.72419,             0.24561,            0.047541,           0.0073721,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.042459,           0.0085826,                   0,             0.80255,             0.62156,             0.70139,             0.24541,            0.047179,           0.0077335,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.042818,           0.0089952,                   0,             0.79757,             0.62385,             0.71521,             0.24033,            0.048034,           0.0073811,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.042319,           0.0086889,                   0,             0.79881,             0.66934,             0.73261,             0.24917,            0.046297,           0.0073647,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.042057,           0.0087263,                   0,             0.77318,             0.69725,             0.72323,             0.24255,            0.046362,            0.007295,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.041644,           0.0084789,                   0,             0.73732,             0.65343,             0.68538,             0.22909,            0.048328,           0.0076122,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.042196,           0.0087827,                   0,             0.83398,             0.59977,             0.70402,             0.23735,             0.04762,           0.0075078,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.042596,            0.008486,                   0,             0.78321,             0.62146,             0.69895,             0.24118,             0.04874,            0.007529,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.042354,           0.0088692,                   0,             0.84617,             0.62615,             0.72602,             0.25519,            0.047649,           0.0073708,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.042901,           0.0087361,                   0,             0.76155,             0.65194,             0.70695,             0.23646,            0.047841,           0.0074882,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.041238,           0.0088873,                   0,             0.76136,              0.5711,             0.64646,             0.21996,            0.048707,           0.0076005,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.041893,           0.0086863,                   0,             0.78406,             0.67661,             0.72532,             0.25221,            0.046179,            0.007309,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.041802,           0.0085544,                   0,             0.85322,             0.63303,              0.7453,             0.25366,            0.047084,           0.0073459,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.042075,           0.0084106,                   0,               0.811,             0.65482,             0.73934,             0.25037,            0.047004,           0.0072876,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.043118,           0.0086166,                   0,               0.776,             0.68119,             0.72172,             0.24325,            0.047255,           0.0073647,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.041271,           0.0086303,                   0,             0.78857,             0.61812,             0.69975,              0.2383,            0.048021,           0.0075239,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.041528,           0.0086174,                   0,             0.76181,             0.60206,             0.65927,             0.21687,            0.049198,           0.0075461,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.041858,           0.0084986,                   0,             0.81895,             0.64321,             0.72819,             0.24835,            0.046772,           0.0073604,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.041351,           0.0084211,                   0,             0.79182,             0.62375,             0.69542,             0.23846,            0.048107,           0.0073778,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.041513,           0.0083307,                   0,             0.79726,             0.65711,             0.70958,             0.24562,            0.047583,           0.0073844,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.041815,           0.0088622,                   0,             0.75764,             0.65367,             0.69223,             0.23029,            0.047471,           0.0074082,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.042295,           0.0082919,                   0,             0.85004,             0.63876,             0.73112,             0.24966,            0.046859,            0.007377,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.041829,           0.0090302,                   0,             0.81287,             0.60773,             0.68879,             0.23281,            0.048551,           0.0073834,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.041524,           0.0085718,                   0,              0.8155,             0.66401,             0.72246,             0.24937,            0.046358,           0.0074036,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.041711,           0.0083675,                   0,             0.83019,             0.63417,              0.7145,             0.25186,            0.046716,           0.0073809,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.041744,           0.0083563,                   0,             0.77526,             0.69228,             0.73542,             0.25194,            0.045778,           0.0072629,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.041729,            0.008604,                   0,             0.81973,             0.61533,             0.70185,             0.24041,            0.046788,           0.0073559,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.040813,           0.0084983,                   0,             0.78585,             0.66493,             0.71725,             0.25171,            0.046342,           0.0073261,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.040939,           0.0089377,                   0,             0.79164,              0.6594,             0.71396,             0.24868,            0.047231,           0.0073859,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.040846,           0.0084537,                   0,             0.78082,             0.64548,             0.70205,             0.23441,            0.047385,           0.0074574,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.039771,           0.0086583,                   0,             0.82543,             0.63532,              0.7192,             0.24998,            0.047779,           0.0073057,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.041763,           0.0080901,                   0,             0.77139,             0.64908,             0.69774,              0.2371,            0.047266,           0.0073378,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.041095,           0.0087201,                   0,             0.79204,             0.64908,             0.71985,             0.25147,            0.046602,           0.0073753,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.041053,           0.0083572,                   0,             0.81776,             0.63294,             0.70767,             0.24565,            0.047332,           0.0074574,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.040717,            0.008547,                   0,             0.79121,             0.66514,             0.72803,             0.24963,            0.046271,           0.0073111,                   0,            0.004918,            0.004918,            0.004918
                 156,             0.04033,           0.0084015,                   0,             0.76378,             0.68227,             0.72081,             0.25343,            0.046787,           0.0073329,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.040196,           0.0084218,                   0,             0.82206,              0.6422,             0.71882,             0.24432,            0.047992,           0.0073054,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.040306,           0.0081335,                   0,             0.79046,             0.63417,             0.68839,             0.23299,            0.047634,           0.0074289,                   0,            0.004819,            0.004819,            0.004819
